code,weight,level
300308.SZ,1.156,3
002422.SZ,0.533,3
000988.SZ,0.526,3
601555.SH,0.525,3
300418.SZ,0.499,3
600489.SH,0.494,3
002028.SZ,0.492,3
000807.SZ,0.488,3
300012.SZ,0.488,3
002340.SZ,0.486,3
600157.SH,0.48,3
601058.SH,0.48,3
002463.SZ,0.466,3
600885.SH,0.435,3
600487.SH,0.433,3
600079.SH,0.43,3
600372.SH,0.426,3
000933.SZ,0.418,3
688256.SH,0.401,3
601108.SH,0.398,3
600765.SH,0.397,3
002966.SZ,0.393,3
601233.SH,0.387,3
000932.SZ,0.385,3
600415.SH,0.385,3
601077.SH,0.385,3
601168.SH,0.381,3
000630.SZ,0.377,3
600109.SH,0.376,3
600352.SH,0.376,3
600988.SH,0.376,3
002384.SZ,0.369,3
000975.SZ,0.368,3
688169.SH,0.361,3
002138.SZ,0.36,3
002185.SZ,0.358,3
601162.SH,0.358,3
600418.SH,0.356,3
300037.SZ,0.355,3
600536.SH,0.354,3
000783.SZ,0.351,3
688777.SH,0.35,3
000423.SZ,0.349,3
300144.SZ,0.348,3
002385.SZ,0.347,3
300285.SZ,0.341,3
600096.SH,0.341,3
002625.SZ,0.338,3
300003.SZ,0.336,3
000009.SZ,0.334,3
300724.SZ,0.329,3
603000.SH,0.329,3
600161.SH,0.328,3
002465.SZ,0.323,3
002738.SZ,0.323,3
002223.SZ,0.322,3
600862.SH,0.322,3
002078.SZ,0.319,3
600160.SH,0.319,3
600298.SH,0.317,3
000066.SZ,0.315,3
002156.SZ,0.315,3
601128.SH,0.312,3
600482.SH,0.311,3
300832.SZ,0.31,3
603816.SH,0.31,3
002797.SZ,0.308,3
600873.SH,0.308,3
600177.SH,0.307,3
002353.SZ,0.305,3
002008.SZ,0.302,3
300058.SZ,0.301,3
300146.SZ,0.301,3
603688.SH,0.299,3
300136.SZ,0.297,3
300866.SZ,0.296,3
601696.SH,0.295,3
002439.SZ,0.293,3
600497.SH,0.293,3
300395.SZ,0.29,3
600546.SH,0.29,3
603589.SH,0.289,3
600705.SH,0.288,3
002409.SZ,0.287,3
300474.SZ,0.287,3
688099.SH,0.285,3
002532.SZ,0.284,3
603596.SH,0.282,3
002624.SZ,0.279,3
601990.SH,0.279,3
000683.SZ,0.278,3
605358.SH,0.277,3
000728.SZ,0.275,3
002673.SZ,0.275,3
603939.SH,0.275,3
002739.SZ,0.274,3
600060.SH,0.274,3
600066.SH,0.273,3
600027.SH,0.272,3
603882.SH,0.272,3
002497.SZ,0.268,3
688567.SH,0.267,3
000629.SZ,0.266,3
600170.SH,0.266,3
300073.SZ,0.265,3
688002.SH,0.265,3
000831.SZ,0.263,3
002195.SZ,0.263,3
603160.SH,0.261,3
300568.SZ,0.26,3
600486.SH,0.259,3
600699.SH,0.259,3
600839.SH,0.259,3
600166.SH,0.258,3
002294.SZ,0.257,3
601577.SH,0.256,3
601997.SH,0.254,3
300017.SZ,0.253,3
600516.SH,0.253,3
000703.SZ,0.251,3
000021.SZ,0.25,3
000623.SZ,0.25,3
002600.SZ,0.25,3
002430.SZ,0.248,2
300699.SZ,0.248,2
600859.SH,0.248,2
000591.SZ,0.246,2
000998.SZ,0.246,2
600499.SH,0.246,2
603444.SH,0.246,2
601198.SH,0.245,2
000997.SZ,0.244,2
000893.SZ,0.243,2
002025.SZ,0.243,2
600642.SH,0.242,2
002273.SZ,0.241,2
300024.SZ,0.24,2
600141.SH,0.239,2
002131.SZ,0.238,2
002407.SZ,0.238,2
600392.SH,0.237,2
600637.SH,0.237,2
600348.SH,0.236,2
002568.SZ,0.235,2
300088.SZ,0.235,2
600998.SH,0.235,2
300390.SZ,0.234,2
600521.SH,0.234,2
002152.SZ,0.233,2
600118.SH,0.233,2
600867.SH,0.233,2
601966.SH,0.233,2
688521.SH,0.233,2
689009.SH,0.233,2
600153.SH,0.232,2
600143.SH,0.231,2
600399.SH,0.23,2
600529.SH,0.23,2
600704.SH,0.23,2
600879.SH,0.23,2
300487.SZ,0.228,2
002065.SZ,0.227,2
600549.SH,0.227,2
002372.SZ,0.226,2
688188.SH,0.226,2
002432.SZ,0.225,2
600655.SH,0.225,2
603077.SH,0.225,2
603737.SH,0.224,2
002299.SZ,0.223,2
300558.SZ,0.223,2
600380.SH,0.223,2
601666.SH,0.223,2
002240.SZ,0.222,2
300604.SZ,0.222,2
000750.SZ,0.221,2
603517.SH,0.221,2
000729.SZ,0.22,2
000878.SZ,0.22,2
000960.SZ,0.22,2
002092.SZ,0.22,2
000738.SZ,0.219,2
002268.SZ,0.219,2
002595.SZ,0.219,2
300383.SZ,0.219,2
002203.SZ,0.218,2
002444.SZ,0.218,2
600498.SH,0.216,2
000513.SZ,0.215,2
600739.SH,0.215,2
600985.SH,0.215,2
002080.SZ,0.214,2
300212.SZ,0.214,2
300595.SZ,0.214,2
000400.SZ,0.213,2
600369.SH,0.213,2
688390.SH,0.213,2
688009.SH,0.212,2
000636.SZ,0.211,2
600271.SH,0.211,2
600909.SH,0.211,2
000060.SZ,0.209,2
002506.SZ,0.209,2
002939.SZ,0.208,2
688072.SH,0.208,2
002368.SZ,0.207,2
300001.SZ,0.207,2
603338.SH,0.207,2
002056.SZ,0.206,2
600398.SH,0.206,2
002373.SZ,0.205,2
300296.SZ,0.205,2
601636.SH,0.205,2
688220.SH,0.205,2
002926.SZ,0.204,2
688536.SH,0.204,2
000039.SZ,0.203,2
000830.SZ,0.203,2
600535.SH,0.203,2
600563.SH,0.203,2
603456.SH,0.203,2
300118.SZ,0.202,2
002850.SZ,0.201,2
300676.SZ,0.201,2
600820.SH,0.2,2
002508.SZ,0.199,2
002507.SZ,0.198,2
